,licese_year,region,license_count,x_point,y_point,accident_year,accident_outcome,accident_count
0,2012,Makkah,143954,21.628962766,41.2636898334,2016,No. of Casualties - Injured,12383
1,2012,Makkah,143954,21.628962766,41.2636898334,2016,No. of Accidents,134838
2,2012,Makkah,143954,21.628962766,41.2636898334,2017,No. of Casualties - Injured,10623
3,2012,Makkah,143954,21.628962766,41.2636898334,2017,No. of Casualties - Dead,1641
4,2012,Makkah,143954,21.628962766,41.2636898334,2016,No. of Casualties - Dead,2243
5,2012,Makkah,143954,21.628962766,41.2636898334,2017,No. of Accidents,145541
6,1994,Makkah,75349,21.628962766,41.2636898334,2016,No. of Casualties - Injured,12383
7,1994,Makkah,75349,21.628962766,41.2636898334,2016,No. of Accidents,134838
8,1994,Makkah,75349,21.628962766,41.2636898334,2017,No. of Casualties - Injured,10623
9,1994,Makkah,75349,21.628962766,41.2636898334,2017,No. of Casualties - Dead,1641
10,1994,Makkah,75349,21.628962766,41.2636898334,2016,No. of Casualties - Dead,2243
11,1994,Makkah,75349,21.628962766,41.2636898334,2017,No. of Accidents,145541
12,1998,Makkah,86082,21.628962766,41.2636898334,2016,No. of Casualties - Injured,12383
13,1998,Makkah,86082,21.628962766,41.2636898334,2016,No. of Accidents,134838
14,1998,Makkah,86082,21.628962766,41.2636898334,2017,No. of Casualties - Injured,10623
15,1998,Makkah,86082,21.628962766,41.2636898334,2017,No. of Casualties - Dead,1641
16,1998,Makkah,86082,21.628962766,41.2636898334,2016,No. of Casualties - Dead,2243
17,1998,Makkah,86082,21.628962766,41.2636898334,2017,No. of Accidents,145541
18,2004,Makkah,86636,21.628962766,41.2636898334,2016,No. of Casualties - Injured,12383
19,2004,Makkah,86636,21.628962766,41.2636898334,2016,No. of Accidents,134838
20,2004,Makkah,86636,21.628962766,41.2636898334,2017,No. of Casualties - Injured,10623
21,2004,Makkah,86636,21.628962766,41.2636898334,2017,No. of Casualties - Dead,1641
22,2004,Makkah,86636,21.628962766,41.2636898334,2016,No. of Casualties - Dead,2243
23,2004,Makkah,86636,21.628962766,41.2636898334,2017,No. of Accidents,145541
24,2005,Makkah,65099,21.628962766,41.2636898334,2016,No. of Casualties - Injured,12383
25,2005,Makkah,65099,21.628962766,41.2636898334,2016,No. of Accidents,134838
26,2005,Makkah,65099,21.628962766,41.2636898334,2017,No. of Casualties - Injured,10623
27,2005,Makkah,65099,21.628962766,41.2636898334,2017,No. of Casualties - Dead,1641
28,2005,Makkah,65099,21.628962766,41.2636898334,2016,No. of Casualties - Dead,2243
29,2005,Makkah,65099,21.628962766,41.2636898334,2017,No. of Accidents,145541
30,2008,Makkah,77013,21.628962766,41.2636898334,2016,No. of Casualties - Injured,12383
31,2008,Makkah,77013,21.628962766,41.2636898334,2016,No. of Accidents,134838
32,2008,Makkah,77013,21.628962766,41.2636898334,2017,No. of Casualties - Injured,10623
33,2008,Makkah,77013,21.628962766,41.2636898334,2017,No. of Casualties - Dead,1641
34,2008,Makkah,77013,21.628962766,41.2636898334,2016,No. of Casualties - Dead,2243
35,2008,Makkah,77013,21.628962766,41.2636898334,2017,No. of Accidents,145541
36,2015,Makkah,157389,21.628962766,41.2636898334,2016,No. of Casualties - Injured,12383
