,year,region,license_count,x_point_x,y_point_x,accident_outcome,accident_count,x_point_y,y_point_y
0,2017,Hail,22035,27.400845724,41.4406960508,No. of Casualties - Dead,265,27.400845724,41.4406960508
1,2017,Hail,22035,27.400845724,41.4406960508,No. of Accidents,9379,27.400845724,41.4406960508
2,2017,Hail,22035,27.400845724,41.4406960508,No. of Casualties - Injured,773,27.400845724,41.4406960508
3,2017,Northern Boarder,5280,30.197074783,41.8171186952,No. of Accidents,11540,30.197074783,41.8171186952
4,2017,Northern Boarder,5280,30.197074783,41.8171186952,No. of Casualties - Dead,112,30.197074783,41.8171186952
5,2017,Northern Boarder,5280,30.197074783,41.8171186952,No. of Casualties - Injured,374,30.197074783,41.8171186952
6,2016,Al-Baha,4614,20.1484058503,41.4665484892,No. of Casualties - Injured,1227,20.1484058503,41.4665484892
7,2016,Al-Baha,4614,20.1484058503,41.4665484892,No. of Casualties - Dead,185,20.1484058503,41.4665484892
8,2016,Al-Baha,4614,20.1484058503,41.4665484892,No. of Accidents,3618,20.1484058503,41.4665484892
9,2017,Qassim,6318,26.1967063704,43.3429998455,No. of Accidents,22405,26.1967063704,43.3429998455
10,2017,Qassim,6318,26.1967063704,43.3429998455,No. of Casualties - Injured,1446,26.1967063704,43.3429998455
11,2017,Qassim,6318,26.1967063704,43.3429998455,No. of Casualties - Dead,319,26.1967063704,43.3429998455
12,2017,Eastern Region,126816,23.2883307307,50.1478302439,No. of Accidents,81433,23.2883307307,50.1478302439
13,2017,Eastern Region,126816,23.2883307307,50.1478302439,No. of Casualties - Dead,963,23.2883307307,50.1478302439
14,2017,Eastern Region,126816,23.2883307307,50.1478302439,No. of Casualties - Injured,4073,23.2883307307,50.1478302439
15,2017,Tabouk,10232,27.90165499,37.2598581394,No. of Accidents,11713,27.90165499,37.2598581394
16,2017,Tabouk,10232,27.90165499,37.2598581394,No. of Casualties - Injured,1243,27.90165499,37.2598581394
17,2017,Tabouk,10232,27.90165499,37.2598581394,No. of Casualties - Dead,348,27.90165499,37.2598581394
18,2016,Northern Boarder,4958,30.197074783,41.8171186952,No. of Casualties - Dead,193,30.197074783,41.8171186952
19,2016,Northern Boarder,4958,30.197074783,41.8171186952,No. of Casualties - Injured,631,30.197074783,41.8171186952
20,2016,Northern Boarder,4958,30.197074783,41.8171186952,No. of Accidents,13196,30.197074783,41.8171186952
21,2016,Najran,2153,18.4511003068,46.868849572600006,No. of Accidents,3235,18.4511003068,46.868849572600006
22,2016,Najran,2153,18.4511003068,46.868849572600006,No. of Casualties - Dead,173,18.4511003068,46.868849572600006
